date,geography,geography code,Social Grade: All categories: Approximated social grade; measures: Value,Social Grade: AB Higher and intermediate managerial/administrative/professional occupations; measures: Value,"Social Grade: C1 Supervisory, clerical and junior managerial/administrative/professional occupations; measures: Value",Social Grade: C2 Skilled manual occupations; measures: Value,Social Grade: DE Semi-skilled and unskilled manual occupations; unemployed and lowest grade occupations; measures: Value
2011,Cramlington Village,E05008041,4257,841,1352,908,1156
2011,Cramlington West,E05008042,8343,1344,2377,2273,2349
2011,Croft,E05008043,4147,418,1074,1032,1623
2011,Haltwhistle,E05008044,2300,307,507,730,756
2011,Hartley,E05008045,1402,247,416,392,347
2011,Haydon,E05008046,2037,304,585,508,640
2011,Haydon and Hadrian,E05008047,1919,412,421,689,397
2011,Hexham Central with Acomb,E05008048,3402,741,999,932,730
2011,Hexham East,E05008049,4080,902,1163,1017,998
2011,Hexham West,E05008050,1586,637,473,277,199
2011,Hirst,E05008051,2746,226,755,479,1286
2011,Holywell,E05008052,2137,360,681,497,599
2011,Humshaugh,E05008053,2036,465,517,715,339
2011,Isabella,E05008054,2112,217,510,513,872
2011,Kitty Brewster,E05008055,3846,464,892,963,1527
2011,Lesbury,E05008056,4003,864,1191,1119,829
2011,Longhoughton,E05008057,2545,636,846,611,452
2011,Lynemouth,E05008058,1748,198,442,451,657
2011,Morpeth Kirkhill,E05008059,4006,1192,1298,814,702
2011,Morpeth North,E05008060,3940,1147,1217,864,712
2011,Morpeth Stobhill,E05008061,2770,470,823,691,786
2011,Newbiggin Central and East,E05008062,2484,289,569,664,962
2011,Newsham,E05008063,1584,144,326,412,702
2011,Norham and Islandshires,E05008064,2118,383,495,732,508
2011,Pegswood,E05008065,1412,226,396,349,441
2011,Plessey,E05008066,1012,102,278,262,370
2011,Ponteland East,E05008067,3492,1040,1126,748,578
2011,Ponteland North,E05008068,5806,1148,2819,1092,747
2011,Ponteland South with Heddon,E05008069,1373,504,416,255,198
2011,Ponteland West,E05008070,2196,629,837,395,335
2011,Prudhoe East,E05008071,2744,507,718,720,799
2011,Prudhoe West,E05008072,2960,514,831,810,805
2011,Rothbury,E05008073,2431,547,596,814,474
2011,Seaton with Newbiggin West,E05008074,3221,554,1004,663,1000
2011,Seghill with Seaton Delaval,E05008075,2268,296,676,585,711
2011,Shilbottle,E05008076,1698,447,412,461,378
2011,Sleekburn,E05008077,2144,244,542,540,818
2011,South Blyth,E05008078,1145,250,407,261,227
2011,South Tynedale,E05008079,2433,663,598,717,455
2011,Stakeford,E05008080,1659,186,453,484,536
2011,Stocksfield and Broomhaugh,E05008081,1809,695,509,366,239
2011,Ulgham,E05008082,3049,631,884,796,738
2011,Wensleydale,E05008083,3099,444,962,836,857
2011,Wooler,E05008084,2362,351,621,720,670
2011,Brotton,E05001505,3255,361,591,949,1354
2011,Coatham,E05001506,6058,797,1740,1438,2083
2011,Dormanstown,E05001507,10452,1848,2693,2821,3090
2011,Eston,E05001508,3288,337,818,783,1350
2011,Grangetown,E05001509,2776,169,422,660,1525
2011,Guisborough,E05001510,5907,1069,1545,1524,1769
2011,Hutton,E05001511,2098,581,516,502,499
2011,Kirkleatham,E05001512,2754,220,556,698,1280
2011,Lockwood,E05001513,899,92,176,261,370
2011,Loftus,E05001514,3807,322,651,1439,1395
2011,Longbeck,E05001515,2273,389,656,640,588
2011,Newcomen,E05001516,1949,319,437,429,764
2011,Normanby,E05001517,2403,294,625,645,839
2011,Ormesby,E05001518,2189,354,540,546,749
2011,St Germain's,E05001519,2148,364,589,581,614
2011,Saltburn,E05001520,2930,598,753,643,936
2011,Skelton,E05001521,3096,355,626,901,1214
2011,South Bank,E05001522,7970,1043,1826,2211,2890
2011,Teesville,E05001523,2367,242,560,583,982
2011,West Dyke,E05001524,2422,518,670,590,644
2011,Westworth,E05001525,1567,283,402,412,470
2011,Zetland,E05001526,1472,208,396,392,476
2011,Billingham Central,E05001527,3782,448,980,917,1437
2011,Billingham East,E05001528,7013,971,1570,1753,2719
2011,Billingham North,E05001529,2601,449,781,705,666
2011,Billingham South,E05001530,7263,1357,1863,1811,2232
2011,Billingham West,E05001531,1418,297,391,373,357
2011,Bishopsgarth and Elm Tree,E05001532,2108,378,543,542,645
2011,Eaglescliffe,E05001533,4790,1190,1391,1069,1140
2011,Fairfield,E05001534,1553,302,418,393,440
2011,Grangefield,E05001535,2317,594,638,585,500
2011,Hardwick,E05001536,6301,1106,1815,1387,1993
2011,Hartburn,E05001537,2043,524,639,465,415
2011,Ingleby Barwick East,E05001538,2714,698,878,645,493
2011,Ingleby Barwick West,E05001539,2997,870,947,655,525
2011,Mandale and Victoria,E05001540,13661,2705,4560,2675,3721
2011,Newtown,E05001541,4187,426,968,1065,1728
2011,Northern Parishes,E05001542,2833,895,917,544,477
2011,Norton North,E05001543,2663,306,632,674,1051
2011,Norton South,E05001544,4609,464,1616,1056,1473
2011,Norton West,E05001545,2040,505,553,520,462
2011,Parkfield and Oxbridge,E05001546,11656,1850,3601,3054,3151
2011,Roseworth,E05001547,3436,274,587,858,1717
2011,Stainsby Hill,E05001548,5749,787,1523,1608,1831
2011,Stockton Town Centre,E05001549,14524,1794,4482,3496,4752
2011,Village,E05001550,2653,286,693,661,1013
2011,Western Parishes,E05001551,2084,437,502,642,503
2011,Yarm,E05001552,4424,1404,1361,857,802
2011,Birtley,E05001067,6531,1000,1728,1824,1979
2011,Blaydon,E05001068,6556,869,1842,1646,2199
2011,Bridges,E05001069,14798,3200,5043,3038,3517
2011,Chopwell and Rowlands Gill,E05001070,3284,533,766,792,1193
2011,Chowdene,E05001071,2590,347,606,634,1003
2011,Crawcrook and Greenside,E05001072,2676,447,781,736,712
2011,Deckham,E05001073,3727,383,875,760,1709
2011,Dunston and Teams,E05001074,6488,1013,1805,1456,2214
2011,Dunston Hill and Whickham East,E05001075,3149,587,973,772,817
2011,Felling,E05001076,6596,752,1701,1604,2539
2011,High Fell,E05001077,7311,1270,2024,1630,2387
2011,Lamesley,E05001078,6518,833,1671,1755,2259
2011,Lobley Hill and Bensham,E05001079,19188,3233,5806,4849,5300
2011,Low Fell,E05001080,3685,994,1053,863,775
2011,Pelaw and Heworth,E05001081,4584,936,1206,1015,1427
2011,"Ryton, Crookhill and Stella",E05001082,3231,652,880,809,890
2011,Saltwell,E05001083,3861,772,1109,684,1296
2011,Wardley and Leam Lane,E05001084,3432,383,877,883,1289
2011,Whickham North,E05001085,11521,1756,3474,2571,3720
2011,Whickham South and Sunniside,E05001086,2521,598,822,526,575
2011,Windy Nook and Whitehills,E05001087,2954,280,645,703,1326
2011,Winlaton and High Spen,E05001088,2924,389,706,919,910
2011,Benwell and Scotswood,E05001089,7582,1066,1813,1617,3086
2011,Blakelaw,E05001090,4630,592,1227,871,1940
2011,Byker,E05001091,11244,1373,3215,2659,3997
2011,Castle,E05001092,7169,1642,2349,1450,1728
2011,Dene,E05001093,10688,3051,4294,1749,1594
2011,Denton,E05001094,3601,417,887,885,1412
2011,East Gosforth,E05001095,6585,1697,2227,1274,1387
2011,Elswick,E05001096,15008,3322,4796,2260,4630
2011,Fawdon,E05001097,5130,509,1284,1067,2270
2011,Fenham,E05001098,4904,550,1354,1187,1813
2011,Kenton,E05001099,5790,898,1512,1246,2134
2011,Lemington,E05001100,6617,1015,2088,1655,1859
2011,Newburn,E05001101,4571,756,1092,1202,1521
2011,North Heaton,E05001102,3674,850,1219,671,934
2011,North Jesmond,E05001103,7863,1135,5661,456,611
2011,Ouseburn,E05001104,11975,3318,5447,1421,1789
2011,Parklands,E05001105,4734,1673,1452,758,851
2011,South Heaton,E05001106,6419,839,3104,915,1561
2011,South Jesmond,E05001107,15131,4402,7144,1761,1824
2011,Walker,E05001108,6870,742,1374,1425,3329
2011,Walkergate,E05001109,4766,702,1192,1331,1541
2011,Westerhope,E05001110,2687,437,785,717,748
2011,Westgate,E05001111,50791,13044,20755,7705,9287
2011,West Gosforth,E05001112,10244,3375,4052,1430,1387
2011,Wingrove,E05001113,9811,2071,4007,1140,2593
2011,Woolsington,E05001114,7806,1094,2425,1813,2474
2011,Battle Hill,E05001115,4049,576,1194,985,1294
2011,Benton,E05001116,4920,903,1758,1016,1243
2011,Camperdown,E05001117,7121,941,2024,1967,2189
2011,Chirton,E05001118,7247,788,1914,1760,2785
2011,Collingwood,E05001119,17357,3545,6186,3499,4127
2011,Cullercoats,E05001120,2619,599,815,613,592
2011,Howdon,E05001121,3968,416,843,933,1776
2011,Killingworth,E05001122,5731,1044,1712,1349,1626
2011,Longbenton,E05001123,11073,2325,4292,1956,2500
2011,Monkseaton North,E05001124,2680,977,881,411,411
2011,Monkseaton South,E05001125,3768,785,1164,792,1027
2011,Northumberland,E05001126,2247,236,630,649,732
2011,Preston,E05001127,2624,561,846,578,639
2011,Riverside,E05001128,9641,1440,2909,1978,3314
2011,St Mary's,E05001129,2217,768,752,368,329
2011,Tynemouth,E05001130,5766,1455,1991,1077,1243
2011,Valley,E05001131,7752,1405,2747,1633,1967
2011,Wallsend,E05001132,7437,1168,2447,1654,2168
2011,Weetslade,E05001133,4229,739,1265,1148,1077
2011,Whitley Bay,E05001134,5348,1214,1837,1030,1267
2011,Beacon and Bents,E05001135,11294,1711,3422,2495,3666
2011,Bede,E05001136,5086,471,1118,1501,1996
2011,Biddick and All Saints,E05001137,3536,257,715,764,1800
2011,Boldon Colliery,E05001138,6370,925,1617,1624,2204
2011,Cleadon and East Boldon,E05001139,2746,841,966,528,411
2011,Cleadon Park,E05001140,2403,331,518,497,1057
2011,Fellgate and Hedworth,E05001141,3229,539,728,740,1222
2011,Harton,E05001142,3373,499,830,820,1224
2011,Hebburn North,E05001143,4890,649,1262,1363,1616
2011,Hebburn South,E05001144,3834,643,934,938,1319
2011,Horsley Hill,E05001145,2763,402,645,659,1057
2011,Monkton,E05001146,3662,561,1081,891,1129
2011,Primrose,E05001147,5790,700,1536,1414,2140
2011,Simonside and Rekendyke,E05001148,7455,685,1854,2143,2773
2011,Westoe,E05001149,3556,776,1019,743,1018
2011,West Park,E05001150,5678,1053,1824,1336,1465
2011,Whitburn and Marsden,E05001151,2336,426,571,585,754
2011,Whiteleas,E05001152,2678,195,615,643,1225
2011,Barnes,E05001153,4410,710,1391,971,1338
2011,Castle,E05001154,7569,1030,2264,1757,2518
2011,Copt Hill,E05001155,4634,630,1180,1255,1569
2011,Doxford,E05001156,5170,831,1742,1065,1532
2011,Fulwell,E05001157,4742,884,1564,1120,1174
2011,Hendon,E05001158,13447,1901,4286,2621,4639
2011,Hetton,E05001159,8061,1024,2417,1928,2692
2011,Houghton,E05001160,5309,695,1424,1370,1820
2011,Millfield,E05001161,17563,3018,6395,3748,4402
2011,Pallion,E05001162,5197,460,1150,1296,2291
2011,Redhill,E05001163,4326,374,810,922,2220
